"","Ensembl.Gene.ID","GeneSymbol","Initially.Assigned.Module.Color","consensus.kMEblack","consensus.kMEblue","consensus.kMEbrown","consensus.kMEcyan","consensus.kMEgreen","consensus.kMEgreenyellow","consensus.kMEmagenta","consensus.kMEmidnightblue","consensus.kMEpink","consensus.kMEpurple","consensus.kMEred","consensus.kMEsalmon","consensus.kMEtan","consensus.kMEturquoise","consensus.kMEyellow"
"ENSG00000109625","ENSG00000109625","CPZ","grey",-0.235301350184981,0,-0.251218601090877,0.179365391517547,0.150795678846565,0.149160972485019,0,-0.263815160666615,0,0.15507032798181,-0.135081355494121,0.253094922654169,0,-0.045756320024383,0.271013961241722
"ENSG00000109654","ENSG00000109654","TRIM2","brown",0.248153468449844,0.2079380167638,0.625036585795562,-0.319686676904094,-0.361833766184718,-0.364499446026755,0,0.425278104700674,0,-0.320014253654039,0.138273693920749,-0.471274762665294,0,0,-0.417381137655718
"ENSG00000109667","ENSG00000109667","SLC2A9","cyan",-0.268843448198967,0.135778774065524,0,0.011428077397992,0,0.411072583517541,0,-0.0334622692350766,-0.207000000848424,0.247522536977003,0,0.348254378901796,0,0.0135982375461813,0.130430947971012
"ENSG00000109670","ENSG00000109670","FBXW7","red",0.712940953721115,-0.384189731167773,0,-0.680026285397298,0,-0.252167889976887,-0.523237304670292,0.454646066581269,0.198054728192905,-0.362899693072449,0.80576590590687,-0.472380274243045,-0.15994816257552,-0.170072150989672,-0.522106782336452
"ENSG00000109680","ENSG00000109680","TBC1D19","grey",0.364648700353049,0,0.416884672778038,-0.168426482062834,-0.187852143767439,-0.012530891468461,-0.246144987894718,0.600320445427306,0,-0.194286199106536,0.295196061901916,-0.122095228291207,0,-0.185683242174503,-0.363171345181159
"ENSG00000109689","ENSG00000109689","STIM2","grey",0.0768011586007988,0,0.286864896133822,-0.20424316244884,-0.262402496555288,-0.219101731435139,-0.0328858523096004,0.288539031685227,0,-0.0601514839626422,0.165793246307129,-0.267278731143531,-0.0205386623467486,0,-0.411007943629422
"ENSG00000109736","ENSG00000109736","MFSD10","magenta",-0.0526303255082453,0.188106100724877,0,0.208399444263928,0,0,0.629772091420737,0,0.00762281398980774,0,-0.291140246921435,0,0.594953706754423,0,0
"ENSG00000109738","ENSG00000109738","GLRB","black",0.845891023545078,-0.486521502867199,0,-0.584540864545345,0,-0.0910001311878028,-0.576880582610781,0.391847965733838,0.309793200636152,-0.217928408715756,0.742923512067532,-0.344765211187072,-0.265130052896282,0,-0.432128463527484
"ENSG00000109743","ENSG00000109743","BST1","grey",-0.366654176474475,0.0848914408385511,0,0.184301214138162,0,0.364891330902472,0.0141340687015409,-0.212545540417389,-0.250614174209512,0.162982473748345,-0.230384862346839,0.383374980692463,0,0.0646083778574406,0.227647741386107
"ENSG00000109756","ENSG00000109756","RAPGEF2","red",0.442427233599567,-0.362024843018883,0.0339129961492601,-0.601034614326932,-0.12848612518694,-0.0475255345064316,-0.54466191871701,0.294277662850831,0.240469831735907,-0.123648293863763,0.748094131163608,-0.164929871488554,-0.248355461836628,-0.0072470657083063,-0.314624136807759
"ENSG00000109758","ENSG00000109758","HGFAC","yellow",-0.220560944982174,0.0147200419882605,-0.210540289177687,0.0922825888248599,0.11664803940281,0.120423013731903,0.147864252053753,-0.208000527400251,0,0.0624460635845307,-0.12395409950221,0.158400938491448,0.0406281899582273,0,0.336131098743657
"ENSG00000109762","ENSG00000109762","SNX25","grey",0.291706877505529,0,0.103101215029233,0,-0.249841584131863,-0.235540748996842,0,0.317348074715774,0,-0.263817616485741,0,-0.281015264416834,-0.0239868166794213,-0.38970941690959,-0.339312914687168
"ENSG00000109771","ENSG00000109771","LRP2BP","grey",-0.107354183755079,0.0616369346870544,0,0,0,0,0,-0.0658704083558816,-0.198883101271732,0.00875485578635158,-0.0901743345661363,0,0,0.0644787166792753,0.0162592487730133
"ENSG00000109775","ENSG00000109775","UFSP2","brown",0.028421411544307,0,0.341004826301807,0,0,-0.0942185197457045,0,0.192017110136253,0,-0.0225898834888929,0,-0.0922676032179597,0,0.0730480415660847,-0.154957293475814
"ENSG00000109790","ENSG00000109790","KLHL5","grey",-0.0246398607377211,0.109912337804655,0.0613258324799358,0,0,0,0,0,-0.433061153956798,0.0844021361022974,0,0,0,0.103285419461066,0
"ENSG00000109805","ENSG00000109805","NCAPG","grey",-0.287905973161291,0.294862867621784,0.0183395469190358,0.224281305772481,0,0,0.247169370936554,0,-0.230858888258495,0,-0.291704405381132,0,0.132313735972002,0,0.0350013000553583
"ENSG00000109814","ENSG00000109814","UGDH","grey",-0.102664618200506,0.444512792286008,0,0.244770164466964,0,0.027938308226269,0.173971850471578,0,-0.144172050262496,0.0824100292633078,-0.166972845938086,0.0604370956838684,0,0,0
"ENSG00000109819","ENSG00000109819","PPARGC1A","grey",0.419019940867846,-0.398480529008772,0,-0.385334702184686,0,-0.101370612264457,-0.382507567656993,0.0474287138303083,0.312975053280624,0,0.486546789832294,-0.146084994326872,-0.179333422084113,0,-0.176249354816015
"ENSG00000109832","ENSG00000109832","DDX25","black",0.755014361538769,-0.239564679546446,0.122036331919249,-0.45884116790719,-0.138981841418621,-0.345926914627744,-0.310805571749575,0.644898219698394,0.344677583779293,-0.478629797902317,0.58384872990544,-0.582832850009829,0,-0.304144865401075,-0.545042484171495
"ENSG00000109854","ENSG00000109854","HTATIP2","turquoise",0,0,0,0,0,0.137420041018126,0,0,0,0.0987750987146977,0,0.129695181176281,0,0.612982272683217,0
"ENSG00000109861","ENSG00000109861","CTSC","greenyellow",0,0,0,0.0711756591634973,0,0.701554843423347,0,0,-0.0759290123664559,0.310776919782294,0,0.460724887676114,-0.0847132042086617,0,0
"ENSG00000109881","ENSG00000109881","CCDC34","black",0.585082079522687,-0.21028072042987,0,-0.517192373499982,-0.0179360885887632,-0.315130517952537,-0.166643729813541,0.460298094313352,0.250626070469077,-0.520199218113345,0.541507052607177,-0.517085726683097,0,-0.252469299246519,-0.417665483958195
"ENSG00000109906","ENSG00000109906","ZBTB16","turquoise",-0.106384498004935,0,-0.0710102825791333,0,0.0122264122202432,0.33648581978533,0,-0.227838215790577,0,0.390066848770356,0,0.449324910893954,0,0.130540126193304,0.253736806334052
"ENSG00000109911","ENSG00000109911","ELP4","cyan",-0.20345014613989,0.484476418110085,0.256579376779591,0.540572411465874,-0.194492436944739,0.0908384062759797,0.166411104863405,0,-0.50579037067324,0.322546563612095,-0.435982294250196,0.172840271092433,-0.116099943536053,0,0
